Q	V	A	T	G
720	610	2		7.7
720	380	3.5	107	8.5
				8.34
800	360			7.5
720	490	4		
800	560	4.5	108	8.35
800	530	3.5		8.7
				
665	420	3	95	6.4
800	500	3.5	102	
630	300	3		
705	340			7.332
740	500	3	107	7.94
770	435	3.5	104	9.2
790	600	3	100	8.18
770	380	2	85	
740	395	2.5		7
750	320	2.5		6.416
800	500		98	6.5
780	465	3.5	105	9.4
800	290	3		9.65
750	420	3		7.3
770	360	3.5		7.6
				9.375
				
730	360	4	91	7.23
770	330			6.66
800	725	4.5	113	7.5
730	435	3	103	7.327
780	530	3.5	100	9.09
800	610	4.5		7.5
760	575	4.5	112	7.72
770	410	3	97	7.7
790	380	3.5	95	6.29
				
760	340		95	6.9
770	395	3.5	100	7.348
800	570	5	113	9.2
790	605	4	114	9.54
780	640	3	107	7
790	560	3.5	108	9.24
665	310	3.5	81	
				7.96
790	485	4	106	8.16
750	465	2.5		
800	605	3.5		7.4
720	410			
665	435	3.5	82	6.9
780	450	3.5	110	6.3
720	395	3.5	97	7.59
760	380	2.5	84	8.2
690	320	3		7.5
800	635			8.4
770	450	4	101	8.2
760	450	3	107	6.38
790	360	4	98	7.5
800	575	4	114	7.214
690	310	2.5	90	5.2
720	515	3.5	101	7.8
770	590	4	114	8.1
800	485	5	109	5.8
790	530	4	117	8.54
790	340	3		
650	550	2.5	98	
770	600	4	111	7.74
644	360	3		7.5
770	560	3.5	95	8
760	560	4		7.1
750	700	4	114	6.5
630	320	1.5		
780	300	3	74	7.064
750	435	3	101	5.8
770	450	3.5	99	8.4
			118	9.95
680	420	3.5	109	5.5
770	500			7.3
680	575	3	110	6.4
730	485	3.5		8.66
	480		95	6.1
800	465	3.5		7.934
790	395	3		6.998
				7.2
780	400		101	6.1
644	360	3.5	100	9.44
770	605	4.5	111	9.07
760	450	3	91	
800	485		96	7.65
690	280	2.5		7.234
790	515	4	110	8.9
				
780	620	3	112	
690	500	3.5	101	
				7.4
770	515	4	109	8.75
720	395	3		
				
				7.37
720	560	4	112	7.69
790	530	3	88	9.425
770	395	3.5	94	6.78
790	605	4	111	6
750	420	4	105	7.3
			114	6.6
770	590	3	102	8.1
790	465	3.5	110	8.45
800	480	3.5	98	7.5
				
				7.3
800	450	3.5	112	8.5
710	430	3.5	97	6.175
720	515		101	
800	380	3	87	9.014
760	575		109	8.107
770	420	4.5	108	7.6
780	610	3.5	108	8.54
644	360	3	85	
740	395	4	101	7.991
730	395	3.5	90	7.5
770	500	3.5	106	6.7
				8.2
790	560		111	
800	650	4		7.8
770	420	3	100	8.5
705	545			8.2
790	485			
790	450	3	95	
780	395			9.74
720	410	3.5	105	7.1
760	330	2.5	87	8.147
770	650	3.5	109	7.3
465	330			8.28
800	465	3.5	100	9
335	500			8.13
740	545	4.5		8.03
790	485		102	8.3
730	435	3		8.5
790	435	4.5	109	
730	440	4	110	7.7
				
760	530	3.5	102	
770	515	3		7.8
800	530		107	7.44
690	320			6.93
				
	435			
770	500	3.5	103	8.47
790	515	4	108	9.3376
				
690	465	4.5	95	6.1
800	515			7.45
760	620			7.6
740	330	3	90	5.8
720	515	3	105	5.5
770	500	3		8.438
760	450	2.5	89	6.2
705	530	3	100	6
750	395	2.5	87	7.1
680	420	3	111	5.757
800	340	3.5		7.2
720	320	2.5	85	7.996
770	435	3		8.28
740	515	3	109	7.8
770	485	2.5	94	7.7
				
750	575	3.5	116	6.41
740	340	3		
665	250	3		
770	380	3	102	6.9
740	320			7
				6.8
615	465	3	104	7.23
760	450	3	98	7.82
740	435	3	102	8.4
760	370	3.5	96	
780	435			8.2
640	570	3	100	7.64
770	620	3.5	113	7.84
690	420	3		9.09
800	515	4		7.81
740	435		104	7.3
740	570	4		7
800	530	4.5	106	8.59
800	450	4.5	109	7.21
780	395	4	106	7.6
780	450	3	92	7.5
800	650	4	115	9.12
800	435	3.5	114	8.5
730	515	3		6.6
760	515	3.5	108	7.3
770	360	3.5		8.13
				
770	435	3	104	5.895
770	420	5	108	7.68
705	395			6.2
670	440	3	98	6
800	485	3.5	102	7.4
800	560	4.5	119	6.695
740	450	3.5		9.14
665	290	3		
410	280	2.5		
730	485		108	5.8
				
750	340	3.5	71	6.942
790	420			7.16
615	575	4.5		7.5
630	370	2.5	91	7.26
770	480	4.5	113	5.8
750	380	3.5	95	6.2
800	560		115	8.1
690	290	3	89	5.929
800	530	3		
720	485	4	112	
730	450	4	105	6.87
730	330	3		7.45
305	620			
630	435	2.5	105	6.32
770	560			6.25
800	590	4	115	8.3
720	395	3	106	6.7
730	270			7
				
750	515	3	108	6.7
730	330	3.5	88	7.43
770	575	3.5	117	9.75
790	515	3.5	98	6.8
790	635	3.5	109	7.1
730	560	3.5		7.8
740	420		97	9.51
730	380	3	100	5.9
750	320	2.5		
770	450			7.9
750	620		110	6.53
750	395	3		7.28
750	545	3.5		7.4
790	500	3.5	112	8.6
				
760	290		92	6.69
790	545	3.5	114	7.5
770	590	4		7.36
720	420	3.5	104	7.8
				
770	420			7.7
644	435	3		7.1
640	330		89	7
800	530	3.5	106	9
705	300	2.5	89	7
790	395	3		8.238
770	710	3.5	109	7.823
720	450	4	86	7.2
			100	7
770	420	3	94	7.284
790	450	3.5	109	7.312
760	450	3.5	102	7
730	370	3		7.731
				6.1
800	435	3	104	9
800	710	4.5	104	8.75
770	485	4		6.5
690	420	3.5	83	7.2
750	485	4	110	6.2
740	360	3	103	5.93
800	575	4	119	6.2
790	485	4	104	
790	620	4	110	5.4
780	420	3.5	107	6.9
800	450	3	101	7.308
800	435			8.3
800	410	3.5		9.08
740	500	3.5		
710	320	3.5	85	7.5
760	570		100	7.75
720	310			
790	435	3		6
770	560	3		8.13
710	460	5		7.5
				
790	410	3	91	7.358
800	465	4		7.1
750	620	3	106	7.4
760	485	3	100	7.7
800	380	3	93	5.3
750	450	3		
730	435	3.5	110	7.871
630	420	2.5	85	7.9
770	420	3	102	8.5
770	450	4.5	112	9.46
800	530	4	118	6.7
730	380			
780	435	3	100	8
800	420	3.5	95	7.58
770	320	3	110	
790	465		102	6.6
			101	7.5
770	485	3.5	105	7.7
750	370	3	100	7.467
				8
780	545	3.5	110	8.83
730	465			
800	630	3.5	106	9.13
770	410	3.5	91	8.54
750	530	4	108	6
730	465	3	106	8.02
680			94	
				7.28
730	420	3	101	6.5
				
760	550	3	112	7.2
740	530	3		6.8
740	435	3		8.4
555	320	3.5		5.5
			94	7.2
790	310	3	100	6.6
760	530	3.5	114	8.26
800	450	3.5	106	6.71
780	560	3	106	7.4
800	545	3		7.811
760	420	3.5		8.18
790	560	3.5	106	8
				
740	370	3	86	8
760	465	3.5		
790	530	3.5	112	8.2
730	605	4.5	113	7.4
720	395	3	99	8.2
780	435	3.5	94	6.5
				7.2
800	530	4.5	111	7.32
740	590	3.5	106	9.41
800	435	3		6
750	380	4	98	8.5
760	530			
760	330	3	80	8.47
				
760	435	4	106	7.8
790	620		114	
				
740	620			7.5
790	620	3.5	108	8.99
770	410		107	6.9
790	560	4.5	110	8.32
740	515	3	104	6.98
770	380	3	92	6.6
720	330	3		6
780	680	4		
800	340			
800	700	5		7.6
800	320	3	93	9.9
800	515	4	115	
800	360	3	93	7.81
770	395	3.5		7.9
			83	6.86
740	700	3		8.58
720	530			
				
790	420	2.5	103	6.66
800	635			
720	370	3	100	6.85
720	410	3	96	6.082
750	330	3	102	8.2
780	360	3	91	7.25
780	380	3		9.34
705	410	2.5	92	7.5
770	450	3.5	105	8.92
740	570	3	95	6.7
790	435	3	93	7.473
800	465	4	107	9.04
800	500	4.5	117	9.21
730	540	3		7.6
600	590			
790	530	2.5	102	7.74
760	450		98	8.5
730	340	2.5	88	
490	730	3	99	7.2
790	575			9.96
				
770	435	3.5	107	7.82
680	280	3.5		7.535
780	380	3	92	8.45
790	500	4	102	8.132
730	620	4	111	8.36
705	290	3	79	7
800	550	3.5	98	7.37
				6.6
800	370	3		
790	635	4.5		7.2
750	560	3.5		7.5
680	560	3.5		7.3
750	515	3.5	103	8.08
770	450	3.5	114	9.35
730	360	3	82	7.5
780	515		104	7.3
				8
				
800	630	3	98	7.6
790	450	3.5		8.8
730	560	3.5	109	8.15
770	530	4		7.2
750	420	3	95	7
770	420	3.5	97	
780	340	3	102	8.72
800	465	3	101	7.46
720	370	3	96	6.8
780	640	3.5		6.1
750	310			8.06
730	435	3.5		9.42
730	435	2.5		6.94
740	310	3		
720	545	3		8.47
740	500	3.5	108	8.3
740	370	2.5		7
770	435	4	114	7.8
760	360	3.5	87	7.3
770	500	4	108	7.39
800	340			6.3
			95	
720	340	2	85	7.3
				
790	435	3	111	6.428
780	435	3	91	7.2
770	530	4		7.2
760	560	4	109	8.23
770	320			
730	340	2	86	
730	370			6.7
790	515	3.5	113	7.3
800	515	4	118	9.71
800	690	4.5	117	7.84
740	290	2.5		7
710	310	3	88	7.742
644	320	3	80	6.9
760	380	3.5		6.2
770	370	3.5		7.7
				8.7
720	470	2.5		7.108
770	545	4	114	7.08
760	450	3	95	6.6
800	465			9.45
740	500	4	117	7.5
780	410	3	102	
750	370	3.5		8.025
730	360	2.5		
770	340			7.26
615	270	2		
				7.1
770	620	3	106	9.8
780	530	3.5	103	5.74
				7.1
780	605	3.5	113	
780	560			9.67
644	320	2.5		6.8
800	420	3		8
770	465	4		6.5
760	420	3.5	106	6.9
770	575	3.5	105	9.2
740	410	4	88	7.8
770	420	3		
750	395			6.9
790	430	3.5	110	9.4
720	360	3		
800	515	3	106	9.08
790	560	3	102	8.72
770	515	4		9.3
790	435	4	105	8.7
790	620	4	114	5.9
770	700		120	10
730	340	3		6.641
				
780	575	4.5	112	7.3
				
750	395	3	106	8.1
800	465	3.5	101	8.6
740	530	4.5	115	6
665	280	2.5		6.219
790	410		98	8.1
800	680	4	114	
730	560	4	113	6
800	435	3.5	104	7.52
				7.5
770	500		108	7
750	435	3	102	6.6
770	310	3	95	
790	560	3.5	98	7.2
780	435	3.5		6.5
740	395	3	100	6.135
730	530	4	99	10
				
800	465	3		8.14
770	410	3	99	8.39
770	410	4	107	6.8
720	420	3.5		8
				
690	450			8.43
615	340			6.56
790	485	3	101	8.57
790	420	4.5	101	5.7
740	340			7
720	340			
				
770	420	3.5	107	7.9
600	340	2.5		
800	570	3.5		7.8
750	395	2	85	6.52
750	360	2.5	89	8
800	620	4	113	9.167
189	515	3.5	106	6.95
800	500	3.5	95	6.5
680	330	2.5	93	5
800	530	3.5	108	8.53
				
690	360	2.5	79	
800	560	3.5	108	7.68
760	530	3	99	9.15
760	350	2.5		6.7
				6.2
730	360	3	82	
730	360	2.5	95	6.54
740	450	3.5	102	6.58
750	500	3	98	8.85
				
740	360	3.5		6.97
				
770	620	4	118	6.4
800	515	3.5	110	9.1
800	380	3.5	100	8.41
800	420	3.5	100	8.2
				6.3
630	725	3		
770	560	3	105	8.86
760	395		93	8
770	395	4	105	8.2
680	310	3.5	93	6.4
760	310	3	92	
780	395	3		7.213
				9.43
790	500	3	105	6.87
740	320	3.5	98	6.06
750	370	3		9.75
790	485	3	102	6.7
800	540	4.5	103	
690	610	4	111	5.8
790	485		100	9.33
644	340	3		
760	395	3	100	7.35
710	530	3.5	102	
780	465	3	105	7.5
740	450	3	100	7.514
800	635	3.5	112	6.11
800	640	3.5	118	8.03
740	420	3	95	
790	395	3	107	7.8
800	575	4	119	7.22
720	300	2.5	81	7.2
740	485	3.5		
800	575		109	
790	700	4.5	115	8
770	420	3	101	6.8
680	300	2.5		
680	420			8
				
750	320	3		7.7
750	380			9.6
720	370	3.5	88	7.8
780	340	3	100	9
730	370	3		6.6
800	465	3	91	
720	330	2		5.5
690	310	2.5	99	7.3
770	450	3	86	7.81
595	420	3	102	7.4
740	530	3	112	6.5
760	515	3.5	105	8.27
740	395	3.5		6.976
780	450	4		
665	320		88	
740	485	3.5	112	7.232
665	340	3	90	7.7
720	450	2		
				
690	580	3.5	114	8.74
				6.1
800	545	5	113	8.38
770	575	4	106	7.5
770	360	2.5		5
730	435	2	85	6.3
770	530	3.5	108	6.3
705	320	3	98	
			113	
680	360	3		6.28
770	340	4.5	97	6.99
790	515	3.5	113	7.3
	570	5		6.1
690	500	5		
790	465	3.5	99	6.76
				
780	370	3	104	7.05
790	310	3	95	5.4
780	635	3	99	8.92
740	420	3		7
760	270	3		7.35
				
750	380	3		6
595	320			
790	560	4	116	8.9
				7.8
644	450	3		7.7
705	465			7.46
730	420	3	102	6.1
331	650	3	115	6.92
770	725	4.5	116	5.9
780	465	3	108	7.5
				
770	435	3.5	102	7.2
750	450		103	7.66
				
595	340	2.5		
760	395	3.5	95	7.65
730	485	2.5		7.34
				6.1
790	590	4.5	109	7.8
690	310			7.7
690	360	2.5	78	
730	360	3	104	6.1
800	500	4	109	8.125
720	395		86	6.3
770	530	3.5	103	7.115
760	395	3.5	107	7.01
720	310	2.5		6.5
800	380			8.5
740	380	3	94	
485	575			7.8
730	500		108	7.306
760	420	3.5	94	8
				
535	300		87	6.8
800	380	3.5	92	8.74
630	360			
760	530	3		7.9
770	370	3	94	8.1
800	435	4		8.8
770	485	4	110	6.9
690	435	3	101	6.52
800	450	3.5	96	6.45
790	560	3.5	104	6.42
720	420			5.4
760	435	3.5	107	
750	380	3		6
780	490			
790	450	4.5	106	8.28
800	530	3	105	7.16
				
760	380	3	99	7.6
410	395	4	95	6.35
720	395	3	88	8.036
665	320	3	96	8
				
705	450	3		6.531
644	330	2.5	81	7
720	540	4.5		8.55
790	450	4	101	
750	530	4	113	6.009
780	485	4	113	9.543
				
770	270	2.5		
680	310	3		6.9
720	435	4	102	8.8
740	380	3		7.1
				7.1
780	515	4	100	8.2
				6.9
710	340	3		
		4.5		9
800	515	3.5	105	7.5
				
690	650			
760	450	3.5	107	7.74
630	620	3.5		
705	450	2.5	90	6.2
770	435	3	98	5.43
770	545	4		7.52
750	420		97	5.9
770	360	3.5	92	9.2
770	435	2		
780	450	3.5	97	6.421
730	380		100	
690	280			7.1
790	530	3.5		8.8
750	360	3	94	7.313
690	280	2.5		
800	605	4	114	8.35
665	360			
740	370	3	90	7.36
615	370	2.5	82	8.92
465	290	2		
750	310	4		
750	485			7.35
730	435	3		7.71
800	620	3	100	9.775
790	515	3.5	98	
790	465	3.5		8
790	605	3.5		6.9
				
770	465	3.5	102	7
770	410	3		7.443
615	330	3		6
760	395	2.5	101	7.8
760	370	3	94	7.402
780	410			9.29
800	650	4	117	8
705	420	3		6.852
730	420	3		
730	420	3.5	89	
680	450	3	92	
644	360	2.5		5.988
644	340			7.5
665	320			
760	360	3		8.34
575	500	3	101	5.67
665	420	2		7.3
770	330	3	98	5.83
730	410	3	99	6.18
610	270	2.5	78	
535	330	3	79	6.3
630	370			8.5
740	420	2		7.446
740	370	3		7.2
				
800	435	3	103	7.8
780	390	3		6.954
780	515	3	106	5.6
790	450	2.5	101	8.28
740	395	3	92	7.9
750	380	3	98	6.84
720	360	3	93	8.4
800	575	4	110	7.79
690	450	3.5		6.9
750	575	3.5	107	5.9
306			101	6.9
705	320	3		
644	340	3		
				
740	360	3		6.9
720	470	3.5	94	
790	420	2.5	99	6.66
770	410	3	91	7.7
690	330	3		
740	420	3	100	7.7
780	500	3		6.67
680	330	2		
535	310	3	81	6.266
690	465	3		
780	450	3	101	7.425
				
770	450	4		6.2
770	310	2.5		
740	370	3		7.71
575	560	2.5		7.66
760	320	3.5	95	7.15
790	465	3	101	7.1
800	590	3.5	107	6.1
770	435	3	96	6.9
690	435	4	105	5.536
800	605	4	113	7
740	380	3.5	102	6.095
644	380	3		
770	380	3		7.8
				
				8.8
770	340	3	97	7.15
800	515	3.5		7.436
740	340			7.4
740	330	3		6.7
760	450	3		7.5
680	380			6.701
800	560	3.5	109	7.45
750	435			5.8
				
				
770	340	3	100	8.07
790	620	4	118	6.963
790	515	4		7.75
790	435	3.5	109	6.88
800	500			7.34
800	500	4	114	7.23
630	270	3		7
760	360	3	84	6.8
730	485	3	103	5.933
690	435	3	105	8.25
770	465	4	102	6.945
				
770	465	3		
730	320	3.5		
780	500	4	114	6.12
730	360	3	82	8
790	380	3	87	6.333
		4	113	7.6
750	370	3	93	6.3
730	395		95	7.3
705	330	4		6.6
740	340	2.5	86	7.436
790	340	3	99	8.49
760	590	5	117	9.42
770	340	3	96	7.88
				6.6
690	340	3		7.7
800	545	3		7.5
740	530	4		8.8
730	380	3	97	6.3
790	600	3	101	7.8
690	360	3	94	6.77
800	330	3	87	8.27
750	540	4	110	8.66
				
			85	7.82
800	420	3	100	
760	370			7
770	380	3		6.63
800	515	3.5	98	7.24
760	450	3	90	7.9
750	420	2.5	90	6.244
740	330	3	82	7.128
800	620	4.5	115	8.79
630	310	2.5		
770	560	3.5	115	6.25
730	485	3	110	8
730	435	3.5		
				
790	330	3		
770	370	3		7.48
				6.5
800	390	3		
730	515	3	86	7.7
705	370	2.5	82	5.87
750	650	3	113	7.5
740	330	2.5		6.4
790	605	3.5	112	7.904
770	410	3	91	7.443
780	515	3	103	6.43
740	370	3		7.3
790	575	3.5	113	7.35
555	320	2	58	7.4
300		3.5	85	8.2
680	435	3	93	6
720	420			6.1
750	435	2.5	92	5.824
750	450	3	95	6.505
770	465	3	89	7.013
575	575	3	98	6.5
760	420	3	81	
705	360	3		
730	410			5.6
630	310	6		
770	465	4	108	
780	500	3		6.67
800	435	3		8.7
790	380	2		7.778
790	560	3	99	7.97
		3.5		
720	575	4	110	5.7
630	450	3		
				6.7
720	485	4.5	107	7.77
770	370	2.5		7.7
				
790	460	3.5	105	7.36
720	515	3	108	
760	580	4.5	114	7
730	330	3	84	6.2
				
800	575		115	7.5
				6.94
800	320	3	92	6.7
780	530			6.4
800	485	3.5	108	9.93
720	395	3	92	
630	450	3	107	7
				
760	395	3.5	101	8.41
720	395			7.82
665	395	3		
720	395	3	90	6
740	290	3		7.7
				
644	395	3	96	5.814
790	340	2	85	6.8
800	420	3.5	106	7.6
720	465	3	91	6.265
740	450	3.5	103	6.1
780	450	3		
				7.53
760	450	3.5	104	9.4
				
				7.6
750	395	4	106	7.3
780	340	2.5		6.565
760	380			
				9.23
				
760	380	3	91	
720	420		93	6.7
800	370	3	94	7.74
740	340	3.5		
790	380	3	90	7.75
730	380	3	92	5.55
770	380	3	101	7.25
760	435	3	94	
				
				
690	370	3	96	
760	450	3	97	6
				7.02
				7.3
740	465	3.5		6.833
670	230	3.5	95	8.4
800	420			7.1
780	530	3.5	96	
760	465		98	6.98
770	450	3	93	5.3
				
800	710	5	116	9.05
720	280	3	84	
				
800	450	3	104	7.1
720	610	2	98	7.7
790	500	4	104	8.58
770	370	3.5	101	7.09
760	280	2	95	
770	485	3		
750	545	3.5	106	7.3
665	420	3.5	84	6.1
800	545	4	100	8.426
644	435	3	103	6.5
760	370	3	97	7.0893
750	360	3	99	
730	370			
				
				6.8
				
750	395	3	102	7.9
800	630	3	110	7.68
790	560	3.5	110	7
		2.5	80	5.5
730	290	2.5	87	5.7
790	605	4		6.96
590	330	2.5	79	5.3
665	450	3.5	99	5.9
705	340	3	82	6.58
				7.23
770	465	3.5	107	7.3
644	310	2	81	7.2
690	340	3	83	
705	395	2.5		8.65
690	330	2		5.4
790	575	4	114	7.62
730	420	3.5	90	7.43
800	360		96	
770	465	3		7.2
313	665		91	6.8
800	435	3.5	101	5.64
615	280	2.5		6.348
410	560	2.5		6.5
790	500			6
770	370	3	103	7.04
690	650		99	6.81
485	330	2		
705	320	3		6.104
800	500	3	105	8.01
720	300	2.5		7.06
780	530	4	111	8
			111	
750	340	3	92	7.37
700	560	3	108	6.9
800	485		115	
750	340	3		
740	330	3	95	7
800	350	2	89	5.998
730	500			8
				
730	300	2		7.6
305	370			6.04
690	360	3		
750	485	4.5	106	5.855
705	465			7.1
				
				7.6
800	770			8.6
644	330	2.5	93	
				8.5
770	300	2.5		7.1
790	380	3.5	97	
690	330	3		
750	310	3.5	89	6.8
				
800	310	3		7.7
			91	
690	340	3.5	97	6
760	300	3	83	8
730	360	3		7.5
790	570	3.5	107	8.5
800	620	3.5		6.91
615	465		95	
				
690	290	3	89	6.4
				7.073
750	370	2	81	
665	320	3	80	
800	500	4	111	7.7
				5.8
790	450	4	102	8.83
760	520	4	100	6.8
770	410	3		7
730	330			7.48
				
770	435	3	89	6.94
770	330			7.183
750	360	3	90	6.7
770	500	4	111	7.63
800	485	4	109	7.8
780	380	4		6.25
790	370	3.5	98	7
670	610	3	101	9
800	500	3.5	101	6.9
800	635	5.5	118	9.925
750	370	3	91	8.1
				
790	560	4	104	6.4
780	450	3	102	7.501
790	450	4		8.8
				7.9
				
				
720	280			
				
780	530	4	118	8.98
730	485	3.5	112	9.3
690	330	3	79	7.2
720	395		93	
680	310	3	87	
800	420	4	104	8.1
				
720	485	3.5	99	7
800	750	3.5	110	7.7
780	450	4	109	7
665	450	3.2	100	7.2
				6.5
760	435	3	110	7.4
				7.5
730	500	3.5	113	7.3
770	250	2.5	81	
660	490	3.5	105	6.86
760	380	3	90	6.5
800	435	2.5	82	8.1
780	500	3	106	6.889
780	465	4	106	6.488
750	320	2	75	7.8
720	320	3		7.5
740	430	3.5		
				6.5
800	420	3.5	101	8.225
				6.09
800	485	4	115	6.739
710	660	4	114	7.3
				7.31
				
				
780	280	3	86	5.722
750	340	3	96	6.25
760	435	3	111	7.5
730	280	2.5	81	6.8
730	410	4	109	6.1
790	395	3.5		6.88
680	370	3	93	6.6
770	320	3	82	6.64
750	450	3	89	9
790	410	2.5	83	8.28
790	420	2.5	93	7.3
690	320	3	84	5.76
				
665	420	3	95	6.5
730	485	3	90	7.35
690	435	3.5	108	6.8
				
790	725	5	114	8.8
595	380	3	86	5.75
800	530	3	105	8.3
780	650	3.5	105	8.01
740	450	3.5	97	8.04
790	320	3	90	7.9
680	395	3	95	
800	540	3	105	7.3
770	465			6.95
720	435	4	108	7.17
750	370			6.563
				
770	545	4	110	6.765
630	410	3.5		
535	260	3.5		6
760	360	3		7.374
				7.7
770	515	4	110	
705	370	3	95	
750	435	3.5	108	
770	290			8.071
730	340	2	86	5.7
720	330	3	92	
690	435	3	98	5.7
800	700	4.5		6.5
770	685	5		8.9
			91	8.91
680	370	3	89	
770	420	3		8.49
				
				6.4
730	530	3.5	104	7.3
780	330	3		7.06
770	500	3.5	110	7
720	360	3	95	7.9
800	485	4	108	8.29
				
720	485	3.5		6.4
790	465	3	107	6.77
				
630	330	3		7.77
			98	7.2
				8.133
				5.8
770	380	3	101	6.66
770	465	4	108	6.9
800	605	3.5	112	9.2
770	515	3	110	8.84
				
770	330	3.5		7.9
595	330	4	85	
800	450	3	100	9.875
790	310	3		6.92
				5
710	520	4	101	7.3
				7
800	640	3	108	6.847
740	520	3.5	105	7.9
780	465	3	93	
770	410	4	98	7.45
630	435	3.5	96	
770	360	3.5	89	7.6
790	450	4	101	7.7
555	280	3	80	
790	450	4	101	7.7
510	370	3	81	
				
740	420	3.5	94	6.4
				7.3
800	310	3.5	88	7.165
				8.1
760	370	3	88	7.1
800	590	3.5	88	6
790	450	3.5	109	9.06
				6.5
				6.2
770	450	3	101	6.712
760	450	3		
800	395	2	95	7.266
780	435	3		8.8
665	340	3	97	
770	310	2.5		7.5
780	310	2.5	84	
800	745	4	116	
800	500		101	8.7
790	410	2.5	83	8.3
665	360	3	92	6.1
790	570	3.5	110	
720	380	3	90	8.75
				
790	545	3	111	7.56
770	370	4		
770	700	5	111	6.2
770	530	3.5	101	5.5
650	360			
750	380	3		9.12
730	480	3	99	7.11
800	800	5.5	115	
730	330	2.5	74	6.6
770	450	3	97	7.79
705	380	2.5	87	8.066
705	395		89	
770	485	3	104	
790	310	3	81	7.29
740	340	4		6.358
730	330	3	75	7.1
750	310	3	93	7
720	470	3.5	94	6.1
750	370	3.5	93	6.433
630	290			6
				7.75
760	530	5		8.2
				
800	310	2.5	86	6.928
760	410		98	
				6.7
590	270	1.5		
			94	
790	410	3	99	6.59
770	360	3	107	8.325
595	270			
770	450	3	92	6.4
690	370		65	7.1
800	450	3.5	108	8.04
575	320	2.5	80	6.6
730	395	3.5	89	7.65
705	395	3	88	7.4
720	560	4	112	7.69
800	450	3.5		
690	320		91	
705	435	3.5	106	6.6
800	700	4	116	9.16
770	380	3		6.522
770	380	3	102	7
		3	91	
800	485	3.5	113	7.85
770	465	3.5	103	9.25
800	530	4	113	6.8
				
760	380	3.5		5.9
				6.7
740	450	3.5	93	6.9
770	605	4	119	8.48
720	435	3	97	6.3
760	650			6.7
690	380		102	7.5
760	440	3	110	6.681
750	450	4	107	
800	400		90	
780	480	4	106	7.004
595	310	2		
780	665	4	113	
485	360	3	90	
770	480	3		
800	560	4	93	
705	290	3	88	
800	590	3	108	6.595
750	560	3		7.5
730	340	2.5		7.345
575	360			5.9
790	485	3.5	107	8.9
680	485	3	111	7.2
				
644	320	2.5	83	
730	370	3		7.8
780	370		100	8.356
				
770	410	3	110	8.86
720	420	3	105	
770	360	2.5	90	
800	530	4	111	
770	635	3	116	8.28
800	465	4	105	7.8
690	340	3		8.33
595	310	2.5	89	7.4
595	310	2.5		
770	465	3	109	
720	370	3	100	7.1
				
790	380	4	103	7.2
770	395	2.5	107	7
800	560	3.5	110	9.9
265	320	1		5.5
750	420	3	95	7.1
290	320	2.5	81	6.1
800	530	3.5	105	7.96
800	510	4.5	115	8.4
535	330		71	6.125
535	290	1.5		
705	360	3	110	5.9
770	435	3	101	7.72
800	395	3	91	
770	340	2.5	85	6.6
740	280	3		7.5
				
740	410	3	96	6.1
720	410		102	7.7
750	515	4	112	7.49
300	380			7.33
690	300	2		7.183
730	300	3	80	
790	465	4	105	8.05
790	605	4	108	
770	485	3	106	6.956
770	605	3.5	102	7.26
				6.7
770	330	2.5	82	
770	500	3	103	8.2
740	550	3.5		7.5
770	500	3.5	108	8.45
680	395			6
800	515	3.5	106	7.65
790	450	4	99	8
760	450	3.5	101	
205	240	3		
				
800	590	4	112	7.63
800	515	3	112	8.2
				7.1
680	350	3.5		
750	690	4.5		7.9
760	460	5		7.8
800	410	4	113	8.8
				
750	370	2.5	92	8.2
				8.327
760	420	3	104	6.3
720	320	3.5	88	5.1
				
705	465	4	92	7.3
705	360	2.5	102	6.8
				6.7
740	450	3.5	102	7.86
705	450	4	105	7.3
730	550	3	96	7.49
289	515		82	8.65
800	450	3.5	110	8.92
				
720	370	2.5	80	
665	370			
750	420	3	95	7.1
555	330			
790	520			6.9
313		3.5	105	8.06
				6.38
790	530	3.5	112	
790	340	3	100	8.7
750	340	3.5	94	7.14
680	420	3	96	
650	290	2		5.979
				
790	450	3.5	109	6.3
615	330	3		
720	380	3.5	97	7
740	530	4	113	8.47
595	260			
790	310	3	95	9.19
680	310	2.5		
770	450	2.5	93	8.2
790	485	4	99	9.1
770	500	4	108	7.5
720	465	3.5	114	7.5
680	435		84	
800	560	3	105	8.7
800	500	4	105	7.72
800	670	3.5	114	8.28
750	420	3	107	5.8
665	370	3	94	7.557
770	330	3	83	6.9
800	670	3.5	114	8.28
				
780	300	3	90	8.6
				6.1
770	330	3	82	8.5
790	410	3		8.1
595	320	2	78	7.513
720	435	3.5	93	5.886
800	725	4	117	9.3
790	465	3.5	110	9.725
740	360	3.5	98	
				
			88	
770	360	3	97	8.2
690	410	3	86	
750	410	2.5	107	6
750	310		86	7.15
770	420	3.5	98	8.02
			88	6.5
705	320	3	81	
780	545	2.5	86	7.7
				
750	435	4	100	8.2
690	320	3	84	5.5
790	500	3.5	109	
410	310	3	91	5.9
790	690		110	10
790	740	4.5	117	7.5
555	380	3	80	
				
630	320	3	90	
770	360	3.5	97	8.75
750	420	3.5	96	
				
				
				
				7.6
790	575	4	113	8.92
730	360	3.5	95	6.5
615	330	3	92	8.4
740	360	2.5		6.867
790	560	4	110	
				
760	520	3.5	101	6.3
				8.87
740	320	3		
