Q	V	A	T	G
800	330	3	84	7.1
800	550	3.5	104	7.4
800	570	3.5	105	7.869
780	500	3.5	110	9.4
800	630			7.9
720	320	2.5	106	
770	575	3		7.2
790	400			7.3
				
800	360	3	90	7.38
780	440	3.5	102	7.6
				
770	340	3	100	5.6
770	540	3.5	109	7.5
800	510	3.5	102	8.2
800	320			7.067
780	560			8.6
				
730	480	3	105	6.5
615	320	2.5		6.7
				7.35
750	640			
750	600		105	7.092
			80	
				
705	485	4	99	7.7
800	410	3.5		9.3
750	450	3	96	7.5
800	530	3		9.2
800	470	3.5	107	8.3
790	515		106	7.8
800	520			
560	270	2.5	93	6.6
790	670	4.5		
660	450	3	101	7.5
770	550	2.5	109	7.7
800	605	4	112	8.4
				7.88
800	630	3	116	8.41
680	280	2.5	92	
750	510	4	100	
800	740	4.5	115	5.3
730	550			
				
780	580	3.5		7.122
800	610			8.44
				
770	395	3	92	6.9
800	330	2.5	83	
800	680	5	110	8.9
800	720	3.5	113	7.77
780	450	3	96	
				8.6
		6		
780	550	3	98	7.3
690	420	3.4	95	6.1
600	400	3	92	5.3
750	460	3.5		
710	600	3	97	6.5
790	600	4	103	
660	320			7
790	710			
730	300	3	87	7.9
780	480	3.5	97	7.94
680	350	3		7.8
720	310	2		7
705	310	3	90	7.7
800	320		98	8.63
700	250	2	56	
690	310			7.4
750	590	3	112	6.7
615	290	3		6
790	465	3.5	108	8.6
750	660	4	92	7.2
630	320	2.5	76	6.8
780	390	3.5	88	8.55
800	590	4		8.63
730	590	3.5	110	6.4
800	590	4	111	
730	490	3.5	103	6.3
790	280		80	8
730	350	2	74	
790	560			8.67
800	570	3.5	109	8.96
700	360	3.5	95	6.83
				
				
760	540	3		7.8
800	580	4		
760	460	3	99	
800	650		110	7.9
800	500	4		8.77
720	600	5.5		8.5
730	680			8.64
790	550	4	101	7.8
780	410	3.5		7.81
800	560	4		7
760	600	3.5		6.5
580	400	2.5	88	5.504
710	330	2.5	70	7.363
800	600	3.5	106	7.916
800	680	3.5	109	8.62
790	620	2.5		8.5
660	460			6.8
730	540	4	98	6.32
800	320	3	80	5.8
800	400			6.425
630	380	2.5		7.166
				9.725
750	465		101	7.2
700	700	3.5	108	9.15
760	600	4	110	
780	580	3.5	114	7.3
770	500	3.5	102	7.4
750	270		66	6
790	580	3		7.46
800	520			
800	580	3	100	8.623
790	380	4	99	9.52
730	485	4	100	7
790	515	4.5	103	6.9
650	390	3	90	7.2
740	580		91	6.7
740	485	3.5		7.83
			95	
800	380	3	94	6.1
800	340			8
760	440	3		8.48
