University of Southern California;|
California State University Fresno;Columbia University;Cornell University;Florida State University;Florida State University Panama City campus;Illinois Institute of Technology;New Jersey Institute of Technology;New York Institute of Technology;Polytechnic University of New York;Princeton University;Syracuse University;University of California Davis;University of California Irvine;University of California Los Angeles;University of California San Diego;University of California San Francisco;University of California Santa Barbara;University of California Santa Cruz;University of Florida;University of Illinois Urbana-Champaign;University of Minnesota Twin Cities;University of Southern California;University of Texas Arlington;University of Texas Austin;University of Texas Dallas;University of Wisconsin;|
University of Illinois Chicago;|
Purdue University;University of California Berkeley;University of Illinois Urbana-Champaign;University of Texas Austin;|
|
Texas A&M University College Station;University of Texas Arlington;University of Texas Austin;University of Texas Dallas;|
|
University of Texas Dallas;|
Arizona State University;|
|
University of Florida;University of Tennessee Knoxville;University of Texas Arlington;University of Texas Austin;University of Texas Dallas;|
North Carolina State University;University of California Santa Barbara;University of Southern California;University of Texas Dallas;University of Colorado Boulder;University of Pennsylvania;Rutgers University New Brunswick/Piscataway;University of Minnesota Twin Cities;University of Wisconsin Madison;|University of Colorado Boulder;University of Pennsylvania;
Arizona State University;Clemson University;Georgia Institute of Technology;North Carolina State University;Purdue University;Rutgers University New Brunswick/Piscataway;Stanford University;SUNY Stony Brook;Texas A&M University College Station;University of California Santa Barbara;University of Colorado Boulder;University of Michigan Ann Arbor;University of Minnesota Twin Cities;University of Missouri Rolla;University of Rochester;University of Southern California;University of Texas Austin;|
|
Ohio State University Columbus;Texas A&M University College Station;University of California Irvine;University of Virginia;Clemson University;Arizona State University;University of Florida;University of Pittsburgh Greensburg;|Clemson University;
Arizona State University;|
Cornell University;Georgia Institute of Technology;Stanford University;University of Minnesota Twin Cities;|University of Minnesota Twin Cities;
|
Chicago State University;Illinois Institute of Technology;New Jersey Institute of Technology;Texas A&M University College Station;|
"Boston University;Illinois State University;Massachusetts Institute of Technology;Minnesota State University| Mankato;University of Illinois Urbana-Champaign;University of Massachusetts Boston;"|
Carnegie Mellon University;Lehigh University;Ohio State University Columbus;University of Pennsylvania;University of Southern California;George Washington University Virginia Campus;Columbia University;Duke University;Rensselaer Polytechnic Institute;Syracuse University;|George Washington University Virginia Campus;
