University of Cincinnati;Bentley College;University of Texas Dallas;|Bentley College;University of Texas Dallas;
Carnegie Mellon University;Indiana University-South Bend;New York University;Northwestern University;University of Arizona;University of Cincinnati;University of Maryland College Park;University of Washington;|
University of Arizona;University of South Florida;|University of Arizona;University of South Florida;
"Carnegie Mellon University;New York University;Pennsylvania State University Behrend College| Erie;University of Maryland College Park;University of Pennsylvania;University of Rochester;Wichita State University;"|
Carnegie Mellon University;Texas Tech University;University of Arizona;University of Illinois Chicago;University of Maryland College Park;University of Washington;Indiana University-Bloomington;Texas A&M University College Station;University of Cincinnati;|Carnegie Mellon University;Texas Tech University;University of Arizona;University of Illinois Chicago;University of Maryland College Park;University of Washington;
Carnegie Mellon University;New York University;SUNY Buffalo;Syracuse University;Rensselaer Polytechnic Institute;University of Arizona;|Carnegie Mellon University;New York University;SUNY Buffalo;Syracuse University;
University of Houston Clear Lake;San Jose State University;University of Texas Dallas;|University of Houston Clear Lake;
|
|
Carnegie Mellon University;University of Cincinnati;|Carnegie Mellon University;University of Cincinnati;
Carnegie Mellon University;Indiana University-Bloomington;Texas A&M University College Station;Applied on 10th Dec. ;University of Arizona;Applied on 25th Dec. ;University of Cincinnati;Applied on 12th Nov. ;|Texas A&M University College Station;Applied on 10th Dec. ;University of Arizona;Applied on 25th Dec. ;University of Cincinnati;Applied on 12th Nov. ;
University of Texas Dallas;|
Oklahoma State University Stillwater;University of Nebraska Omaha;|Oklahoma State University Stillwater;University of Nebraska Omaha;
|
|
|
Carnegie Mellon University;SUNY Buffalo;University of Cincinnati;University of Illinois Chicago;First ;Texas A&M University College Station;University of Arizona;|Carnegie Mellon University;SUNY Buffalo;University of Cincinnati;University of Illinois Chicago;First ;
SUNY Buffalo;University of Cincinnati;Texas A&M University College Station;University of Arizona;|SUNY Buffalo;University of Cincinnati;
University of Illinois Chicago;New Jersey Institute of Technology;University of Houston Clear Lake;University of Missouri Rolla;University of Texas Dallas;SUNY Buffalo;|New Jersey Institute of Technology;University of Houston Clear Lake;University of Missouri Rolla;University of Texas Dallas;
Illinois Institute of Technology;Rochester Institute of Technology;Syracuse University;Texas A&M University College Station;University of Illinois Urbana-Champaign;University of Texas Arlington;|
Syracuse University;University of Arizona;University of Florida;University of Illinois Chicago;University of Illinois Springfield;University of Texas Dallas;|
Carnegie Mellon University;University of Arizona;Applied on 3th dec...;University of Cincinnati;Applied on 14th nov..interviewed on 20th dec...;University of Florida;University of Illinois Chicago;University of South Florida;Indiana University-Bloomington;Applied before deadline!!!.want this one although ambi for me ...;|Carnegie Mellon University;University of Arizona;Applied on 3th dec...;University of Cincinnati;Applied on 14th nov..interviewed on 20th dec...;University of Florida;University of Illinois Chicago;University of South Florida;
University of Maryland Baltimore County;Ferris State University;|Ferris State University;
Indiana University-Bloomington;University of Illinois Chicago;;University of Washington;;Texas A&M University College Station;University of Cincinnati;|University of Illinois Chicago;;University of Washington;;
Carnegie Mellon University;Texas A&M University College Station;Indiana University-Bloomington;University of Arizona;|Indiana University-Bloomington;University of Arizona;
University of Arizona;|
Purdue University;University of Arizona;University of Washington;Carnegie Mellon University;Nailed it man.. Application submitted on 11th Dec. ;University of Maryland College Park;My First ;Indiana University-Bloomington;New York University;Texas A&M University College Station;|Carnegie Mellon University;Nailed it man.. Application submitted on 11th Dec. ;University of Maryland College Park;My First ;
|
Carnegie Mellon University;Texas A&M University College Station;University of Illinois Chicago;New York University;|Carnegie Mellon University;Texas A&M University College Station;University of Illinois Chicago;
Oklahoma State University Stillwater;University of Maryland College Park;University of South Florida;My First ;Worcester Polytechnic Institute;;Syracuse University;University of Illinois Chicago;|Oklahoma State University Stillwater;University of Maryland College Park;University of South Florida;My First ;Worcester Polytechnic Institute;;
Carnegie Mellon University;New York University;Rensselaer Polytechnic Institute;Syracuse University;University of Arizona;University of Cincinnati;University of Illinois Chicago;|University of Illinois Chicago;
|
|
Indiana University-Bloomington;New Jersey Institute of Technology;SUNY Buffalo;Texas A&M University College Station;University of Cincinnati;University of Maryland College Park;University of Texas Arlington;University of Texas Dallas;University of Illinois Chicago;University of South Florida;|University of Illinois Chicago;University of South Florida;
New York University;Carnegie Mellon University;Applied on 10th Jan..;Syracuse University;Applied 1st Feb..;University of Illinois Chicago;Applied 7th Feb...;Indiana University-Bloomington;|Carnegie Mellon University;Applied on 10th Jan..;Syracuse University;Applied 1st Feb..;University of Illinois Chicago;Applied 7th Feb...;
Illinois Institute of Technology;New Jersey Institute of Technology;Northeastern University;University of Texas Dallas;Utah State University;|Illinois Institute of Technology;New Jersey Institute of Technology;Northeastern University;University of Texas Dallas;Utah State University;
Carnegie Mellon University;SUNY College at Buffalo (Buffalo State College);Awee-some Second ;University of Arizona;University of South Florida;First ;University of Illinois Chicago;|SUNY College at Buffalo (Buffalo State College);Awee-some Second ;University of Arizona;University of South Florida;First ;
"Indiana University-Bloomington;New York University;Texas A&M University College Station;University of Illinois Chicago;University of Washington;University of Arizona;Applied on 17Dec| Recos submitted on 28th Dec | ;University of Cincinnati;Applied on 6 Nov | Interview on 29Th Nov| ;"|"University of Arizona;Applied on 17Dec| Recos submitted on 28th Dec | ;University of Cincinnati;Applied on 6 Nov | Interview on 29Th Nov| ;"
